Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Hill Climbing,4,1,"[2, 0, 3, 1]",0,True,0.0009970664978027344,2
Simulated Annealing,4,1,"[1, 3, 0, 2]",0,True,0.0,191
Hill Climbing,4,2,"[1, 3, 0, 2]",0,True,0.0,2
Simulated Annealing,4,2,"[2, 0, 3, 1]",0,True,0.0,99
Hill Climbing,4,3,"[3, 1, 0, 2]",1,False,0.0,0
Simulated Annealing,4,3,"[1, 3, 0, 2]",0,True,0.0009963512420654297,65
Hill Climbing,4,4,"[0, 3, 3, 0]",2,False,0.0,0
Simulated Annealing,4,4,"[2, 0, 3, 1]",0,True,0.0,328
Hill Climbing,4,5,"[0, 2, 3, 1]",1,False,0.0,1
Simulated Annealing,4,5,"[2, 0, 3, 1]",0,True,0.0009963512420654297,192
Hill Climbing,4,6,"[0, 3, 1, 2]",1,False,0.0,2
Simulated Annealing,4,6,"[1, 3, 0, 2]",0,True,0.0,2
Hill Climbing,4,7,"[3, 0, 2, 1]",1,False,0.0,2
Simulated Annealing,4,7,"[2, 0, 3, 1]",0,True,0.0,33
Hill Climbing,4,8,"[3, 0, 2, 1]",1,False,0.0,1
Simulated Annealing,4,8,"[1, 3, 0, 2]",0,True,0.0,7
Hill Climbing,4,9,"[1, 2, 0, 3]",1,False,0.0,1
Simulated Annealing,4,9,"[1, 3, 0, 2]",0,True,0.0009968280792236328,210
Hill Climbing,4,10,"[3, 0, 2, 1]",1,False,0.0,1
Simulated Annealing,4,10,"[2, 0, 3, 1]",0,True,0.0,54
Hill Climbing,4,11,"[1, 3, 0, 2]",0,True,0.0,3
Simulated Annealing,4,11,"[2, 0, 3, 1]",0,True,0.0,70
Hill Climbing,4,12,"[1, 3, 0, 2]",0,True,0.0,2
Simulated Annealing,4,12,"[2, 0, 3, 1]",0,True,0.0,15
Hill Climbing,4,13,"[1, 3, 0, 2]",0,True,0.0,1
Simulated Annealing,4,13,"[2, 0, 3, 1]",0,True,0.0,197
Hill Climbing,4,14,"[0, 3, 1, 2]",1,False,0.0,1
Simulated Annealing,4,14,"[2, 0, 3, 1]",0,True,0.0009965896606445312,10
Hill Climbing,4,15,"[2, 0, 1, 3]",1,False,0.0,1
Simulated Annealing,4,15,"[1, 3, 0, 2]",0,True,0.0,33
Hill Climbing,4,16,"[3, 1, 0, 2]",1,False,0.0,2
Simulated Annealing,4,16,"[2, 0, 3, 1]",0,True,0.0,78
Hill Climbing,4,17,"[1, 3, 0, 2]",0,True,0.0,2
Simulated Annealing,4,17,"[2, 0, 3, 1]",0,True,0.0005033016204833984,199
Hill Climbing,4,18,"[2, 0, 3, 1]",0,True,0.0,2
Simulated Annealing,4,18,"[1, 3, 0, 2]",0,True,0.0010001659393310547,417
Hill Climbing,4,19,"[1, 3, 0, 2]",0,True,0.0,2
Simulated Annealing,4,19,"[2, 0, 3, 1]",0,True,0.0,108
Hill Climbing,4,20,"[2, 0, 3, 1]",0,True,0.0,2
Simulated Annealing,4,20,"[2, 0, 3, 1]",0,True,0.0009999275207519531,175
Hill Climbing,4,21,"[1, 3, 0, 2]",0,True,0.0,2
Simulated Annealing,4,21,"[1, 3, 0, 2]",0,True,0.0,72
Hill Climbing,4,22,"[2, 0, 1, 3]",1,False,0.0,1
Simulated Annealing,4,22,"[2, 0, 3, 1]",0,True,0.0,117
Hill Climbing,4,23,"[2, 0, 3, 1]",0,True,0.0,2
Simulated Annealing,4,23,"[2, 0, 3, 1]",0,True,0.0,122
Hill Climbing,4,24,"[1, 3, 0, 2]",0,True,0.0009965896606445312,3
Simulated Annealing,4,24,"[1, 3, 0, 2]",0,True,0.0,108
Hill Climbing,4,25,"[2, 0, 1, 3]",1,False,0.0,1
Simulated Annealing,4,25,"[2, 0, 3, 1]",0,True,0.0009968280792236328,334
Hill Climbing,4,26,"[2, 0, 3, 1]",0,True,0.0,2
Simulated Annealing,4,26,"[1, 3, 0, 2]",0,True,0.0,280
Hill Climbing,4,27,"[3, 0, 2, 1]",1,False,0.0,2
Simulated Annealing,4,27,"[2, 0, 3, 1]",0,True,0.0009963512420654297,327
Hill Climbing,4,28,"[2, 0, 3, 1]",0,True,0.0,2
Simulated Annealing,4,28,"[1, 3, 0, 2]",0,True,0.0,64
Hill Climbing,4,29,"[1, 0, 2, 3]",2,False,0.0,1
Simulated Annealing,4,29,"[2, 0, 3, 1]",0,True,0.000997304916381836,44
Hill Climbing,4,30,"[1, 3, 0, 2]",0,True,0.0,1
Simulated Annealing,4,30,"[2, 0, 3, 1]",0,True,0.0,21
Hill Climbing,8,1,"[1, 4, 7, 3, 6, 2, 5, 5]",1,False,0.0,3
Simulated Annealing,8,1,"[2, 2, 5, 7, 1, 3, 0, 6]",1,False,0.0034966468811035156,688
Hill Climbing,8,2,"[6, 3, 0, 6, 1, 5, 2, 0]",2,False,0.0010685920715332031,2
Simulated Annealing,8,2,"[2, 7, 3, 0, 5, 1, 4, 6]",1,False,0.002951383590698242,688
Hill Climbing,8,3,"[4, 2, 0, 5, 7, 0, 6, 3]",1,False,0.0,3
Simulated Annealing,8,3,"[3, 0, 6, 1, 4, 1, 7, 2]",2,False,0.0029897689819335938,688
Hill Climbing,8,4,"[7, 5, 1, 3, 6, 0, 2, 4]",1,False,0.0009968280792236328,4
Simulated Annealing,8,4,"[0, 6, 3, 1, 4, 7, 5, 2]",1,False,0.0034973621368408203,688
Hill Climbing,8,5,"[1, 4, 0, 7, 3, 7, 0, 2]",2,False,0.0012767314910888672,3
Simulated Annealing,8,5,"[2, 6, 1, 3, 0, 0, 7, 5]",1,False,0.002992868423461914,688
Hill Climbing,8,6,"[6, 2, 7, 2, 0, 3, 1, 4]",1,False,0.0012645721435546875,3
Simulated Annealing,8,6,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.004076957702636719,637
Hill Climbing,8,7,"[2, 5, 3, 0, 7, 4, 1, 6]",1,False,0.0009393692016601562,4
Simulated Annealing,8,7,"[6, 4, 2, 0, 5, 7, 1, 3]",0,True,0.0029935836791992188,583
Hill Climbing,8,8,"[3, 7, 7, 1, 6, 2, 0, 6]",2,False,0.0,2
Simulated Annealing,8,8,"[1, 5, 0, 6, 3, 0, 2, 7]",1,False,0.003986835479736328,688
Hill Climbing,8,9,"[7, 4, 2, 0, 6, 1, 3, 5]",1,False,0.0025174617767333984,5
Simulated Annealing,8,9,"[5, 2, 4, 6, 0, 3, 1, 7]",0,True,0.004310131072998047,594
Hill Climbing,8,10,"[4, 1, 5, 2, 5, 3, 0, 6]",2,False,0.0010004043579101562,2
Simulated Annealing,8,10,"[6, 3, 1, 4, 7, 5, 0, 2]",1,False,0.0034906864166259766,688
Hill Climbing,8,11,"[0, 3, 5, 7, 1, 4, 2, 6]",1,False,0.000997304916381836,3
Simulated Annealing,8,11,"[3, 0, 4, 7, 5, 2, 6, 1]",0,True,0.003987789154052734,688
Hill Climbing,8,12,"[3, 6, 0, 7, 4, 1, 5, 2]",0,True,0.0,3
Simulated Annealing,8,12,"[4, 2, 3, 5, 7, 1, 6, 0]",1,False,0.002990245819091797,688
Hill Climbing,8,13,"[4, 7, 0, 2, 5, 2, 6, 3]",1,False,0.001501321792602539,3
Simulated Annealing,8,13,"[2, 7, 5, 1, 1, 4, 0, 3]",1,False,0.007254838943481445,688
Hill Climbing,8,14,"[5, 0, 2, 6, 4, 7, 1, 3]",1,False,0.0019931793212890625,5
Simulated Annealing,8,14,"[3, 6, 0, 7, 4, 1, 5, 2]",0,True,0.006539821624755859,602
Hill Climbing,8,15,"[3, 0, 2, 7, 1, 6, 0, 5]",1,False,0.0019686222076416016,4
Simulated Annealing,8,15,"[3, 7, 4, 2, 0, 6, 4, 7]",2,False,0.0045604705810546875,688
Hill Climbing,8,16,"[0, 5, 3, 6, 0, 7, 4, 1]",1,False,0.0,2
Simulated Annealing,8,16,"[7, 7, 3, 0, 6, 1, 5, 2]",1,False,0.0039904117584228516,688
Hill Climbing,8,17,"[0, 3, 1, 6, 4, 2, 7, 5]",1,False,0.0005040168762207031,2
