Algoritmo,N,Porcentaje_Exitos,Tiempo_Promedio,Tiempo_Desviacion,Estados_Promedio,Estados_Desviacion
Backtracking,4,100.0,0.0,0.0,6.0,0.0
Backtracking,8,100.0,0.00026662349700927733,0.00044970369325162627,28.0,0.0
Backtracking,10,100.0,0.00039743582407633464,0.0004954200330244385,45.0,0.0
Backtracking,12,100.0,0.0020768324534098308,0.0009367598744316681,66.0,0.0
Backtracking,15,100.0,0.010802125930786133,0.0017869505192606816,105.0,0.0
Forward Checking,4,100.0,3.337860107421875e-05,0.00018282212746315778,6.0,0.0
Forward Checking,8,100.0,0.00023334026336669923,0.00043019585666879533,28.0,0.0
Forward Checking,10,100.0,0.0002692063649495443,0.0004542716711956815,45.0,0.0
Forward Checking,12,100.0,0.00104982058207194,0.000648124054046992,66.0,0.0
Forward Checking,15,100.0,0.004327893257141113,0.0009805445301431538,105.0,0.0
