Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Backtracking,4,1,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,1,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,2,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,2,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,3,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,3,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,4,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,4,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,5,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,5,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,6,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,6,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,7,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,7,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,8,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,8,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,9,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,9,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,10,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,10,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,11,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,11,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,12,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,12,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,13,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,13,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,14,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,14,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,15,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,15,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,16,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,16,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,17,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,17,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,18,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,18,"[1, 3, 0, 2]",0,True,0.0010013580322265625,6
Backtracking,4,19,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,19,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,20,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,20,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,21,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,21,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,22,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,22,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,23,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,23,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,24,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,24,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,25,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,25,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,26,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,26,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,27,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,27,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,28,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,28,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,29,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,29,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,4,30,"[1, 3, 0, 2]",0,True,0.0,6
Forward Checking,4,30,"[1, 3, 0, 2]",0,True,0.0,6
Backtracking,8,1,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,1,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,2,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0010001659393310547,28
Forward Checking,8,2,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,3,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,3,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,4,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009987354278564453,28
Forward Checking,8,4,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,5,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,5,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,6,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0010001659393310547,28
Forward Checking,8,6,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,7,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,7,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009999275207519531,28
Forward Checking,8,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,9,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,9,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,10,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009999275207519531,28
Forward Checking,8,10,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,11,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,11,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0010001659393310547,28
Backtracking,8,12,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,12,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,13,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,13,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009996891021728516,28
Backtracking,8,14,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,14,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,15,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,15,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0010001659393310547,28
Backtracking,8,16,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,16,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,17,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,17,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009999275207519531,28
Backtracking,8,18,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,18,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
